country,date,words
AT,2010-08-25,44643
AT,2010-09-22,125353
AT,2010-10-05,30923
AT,2010-10-20,108253
AT,2010-10-21,147049
AT,2010-10-22,108
AT,2010-11-17,106244
AT,2010-11-18,101498
AT,2010-11-30,98073
AT,2010-12-01,94733
AT,2010-12-20,73314
AT,2010-12-21,222706
AT,2010-12-22,311
AT,2011-01-20,132779
AT,2011-01-21,84
AT,2011-02-04,28871
AT,2011-03-01,121869
AT,2011-03-22,50683
AT,2011-03-30,100902
AT,2011-03-31,113369
AT,2011-04-28,103823
AT,2011-04-29,94204
AT,2011-05-17,102235
AT,2011-05-18,105856
AT,2011-06-15,96692
AT,2011-06-16,90945
AT,2011-07-06,111608
AT,2011-07-07,105723
AT,2011-07-08,81789
AT,2011-09-13,37906
AT,2011-09-21,121290
AT,2011-09-30,60858
AT,2011-10-12,36235
AT,2011-10-19,152179
AT,2011-10-20,113044
AT,2011-10-28,30028
AT,2011-11-15,111942
AT,2011-11-16,285094
AT,2011-11-18,216
AT,2011-12-06,123825
AT,2011-12-07,108549
AT,2011-12-14,31965
AT,2012-01-18,93891
AT,2012-01-19,94881
AT,2012-02-23,37048
AT,2012-02-29,121063
AT,2012-03-08,40615
AT,2012-03-28,102976
AT,2012-03-29,98299
AT,2012-04-10,26591
AT,2012-04-19,125944
AT,2012-05-15,89094
AT,2012-05-16,99544
AT,2012-06-13,97937
AT,2012-06-14,84087
AT,2012-06-27,33322
AT,2012-07-04,126151
AT,2012-07-05,96891
AT,2012-07-06,88536
AT,2012-09-19,73917
AT,2012-10-05,34109
AT,2012-10-15,26760
AT,2012-10-16,110924
AT,2012-10-17,98655
AT,2012-10-30,26152
AT,2012-11-08,35952
AT,2012-11-13,109148
AT,2012-11-14,292006
AT,2012-11-16,300
AT,2012-12-05,116162
AT,2012-12-06,104904
AT,2013-01-30,112316
AT,2013-01-31,108065
AT,2013-02-19,58151
AT,2013-02-27,134110
AT,2013-03-20,120090
AT,2013-03-21,77383
AT,2013-04-03,30509
AT,2013-04-22,36517
AT,2013-04-25,128685
AT,2013-04-26,95976
AT,2013-05-14,38909
AT,2013-05-22,118897
AT,2013-05-23,130766
AT,2013-06-12,83884
AT,2013-06-13,91874
AT,2013-06-14,67719
AT,2013-06-27,32332
AT,2013-07-03,134506
AT,2013-07-04,128677
AT,2013-07-05,144394
AT,2013-09-17,36116
AT,2013-09-18,40209
AT,2013-09-25,32325
AT,2013-10-29,19436
AT,2013-11-20,91241
AT,2013-12-03,38990
AT,2013-12-17,111691
AT,2014-01-29,117134
AT,2014-02-17,74674
AT,2014-02-24,111321
AT,2014-02-25,103627
AT,2014-03-18,65450
AT,2014-03-26,122525
AT,2014-03-27,64633
AT,2014-04-24,38324
AT,2014-04-29,105513
AT,2014-04-30,70854
AT,2014-05-20,115093
AT,2014-05-21,247993
AT,2014-05-23,183
AT,2014-06-12,140377
AT,2014-06-25,36932
AT,2014-07-08,88916
AT,2014-07-09,101529
AT,2014-07-10,72504
AT,2014-09-02,61259
AT,2014-09-23,34174
AT,2014-09-24,113795
AT,2014-10-16,29291
AT,2014-10-22,113965
AT,2014-10-23,102409
AT,2014-11-05,38131
AT,2014-11-19,113192
AT,2014-11-20,101445
AT,2014-12-10,110352
AT,2014-12-11,121397
AT,2015-01-14,32921
AT,2015-01-21,121008
AT,2015-02-25,117254
AT,2015-03-18,26009
AT,2015-03-25,96321
AT,2015-03-26,74736
AT,2015-04-22,125661
AT,2015-04-23,102174
AT,2015-05-04,24180
AT,2015-05-20,121118
AT,2015-05-21,107550
AT,2015-06-08,31053
AT,2015-06-17,96147
AT,2015-06-18,84387
AT,2015-07-07,116510
AT,2015-07-08,110896
AT,2015-07-09,90802
AT,2015-07-17,33321
AT,2015-09-01,54883
AT,2015-09-23,122256
AT,2015-09-24,37755
AT,2015-10-06,33932
AT,2015-10-14,115633
AT,2015-10-15,86467
AT,2015-11-11,129803
AT,2015-11-12,63486
AT,2015-11-24,282691
AT,2015-11-26,235
AT,2015-12-09,93737
AT,2015-12-10,113506
AT,2016-01-27,139779
AT,2016-02-24,105922
AT,2016-03-08,39642
AT,2016-03-16,101284
AT,2016-03-17,91254
AT,2016-04-18,35152
AT,2016-04-27,108301
AT,2016-04-28,86102
AT,2016-05-18,124904
AT,2016-05-19,129869
AT,2016-06-15,114789
AT,2016-06-16,80544
AT,2016-07-06,117704
AT,2016-07-07,114596
AT,2016-07-08,26730
AT,2016-09-13,32961
AT,2016-09-21,86536
AT,2016-10-12,89955
AT,2016-10-13,104293
AT,2016-11-09,108610
AT,2016-11-10,81392
AT,2016-11-22,269756
AT,2016-11-24,247
AT,2016-12-14,128463
AT,2016-12-15,82293
AT,2017-01-31,119643
AT,2017-02-01,74762
AT,2017-03-01,81922
AT,2017-03-02,59079
AT,2017-03-14,53524
AT,2017-03-29,105668
AT,2017-03-30,125466
AT,2017-04-26,91245
AT,2017-04-27,47151
AT,2017-05-16,118820
AT,2017-05-17,77889
AT,2017-06-07,89951
AT,2017-06-19,31429
AT,2017-06-28,118654
AT,2017-06-29,119099
AT,2017-07-13,31275
AT,2017-09-20,116658
AT,2017-10-04,62331
AT,2017-10-12,147701
AT,2017-11-09,21016
AT,2017-12-13,46148
AT,2017-12-20,87945
AT,2018-01-31,73561
AT,2018-02-28,79535
AT,2018-03-01,39903
AT,2018-03-19,24870
AT,2018-03-21,89821
AT,2018-03-22,80665
AT,2018-04-17,273963
AT,2018-04-19,122
AT,2018-04-20,74407
AT,2018-05-16,105509
AT,2018-05-17,64109
AT,2018-06-11,27063
AT,2018-06-13,100983
AT,2018-06-14,99914
AT,2018-06-29,32958
AT,2018-07-04,108594
AT,2018-07-05,109135
AT,2018-09-07,30749
AT,2018-09-26,111648
AT,2018-10-18,26250
AT,2018-10-19,25972
AT,2018-10-24,119389
AT,2018-10-25,82472
AT,2018-11-16,28954
AT,2018-11-21,98943
AT,2018-11-22,87355
AT,2018-12-11,99883
AT,2018-12-12,128453
AT,2018-12-13,91076
AT,2019-01-29,22519
AT,2019-01-30,124822
AT,2019-02-27,109993
AT,2019-03-27,126407
AT,2019-03-28,110816
AT,2019-04-24,68374
AT,2019-04-25,110812
AT,2019-05-15,115610
AT,2019-05-16,103058
AT,2019-05-27,31096
AT,2019-06-12,67720
AT,2019-06-13,24709
AT,2019-07-02,107820
AT,2019-07-03,102726
AT,2019-09-19,107730
AT,2019-09-25,131747
AT,2019-10-23,22962
AT,2019-11-13,71599
AT,2019-11-26,26782
AT,2019-12-11,105769
AT,2020-01-10,73854
AT,2020-01-22,123598
